,Date,Type,Total,Total for Shares,Price per share
290,Aug 13,Eargo Market BuyAug 13,$25.201 share at $25.20,$25.20,$25.20
291,Aug 13,Siemens Limit SellAug 13,$83.931 share at $83.93,$83.93,$83.93
292,Aug 13,Velodyne Lidar Market BuyAug 13,$36.905 shares at $7.38,$36.905,$7.38
293,Aug 13,Plug Power Market BuyAug 13,$50.772 shares at $25.39,$50.772,$25.39
294,Aug 13,JetBlue Airways Market BuyAug 13,$46.463 shares at $15.49,$46.463,$15.49
295,Aug 13,Velodyne Lidar Market BuyAug 13,$22.173 shares at $7.39,$22.173,$7.39
296,Aug 13,Rackspace Technology Market BuyAug 13,$27.222 shares at $13.61,$27.222,$13.61
297,Aug 13,Unity Software Limit BuyAug 13,Canceled,,
298,Aug 13,Eargo Market BuyAug 13,$25.991 share at $25.99,$25.99,$25.99
299,Aug 13,Lam Research Market BuyAug 13,$57.930.1 shares at $579.30,$57.930.1,$579.30
300,Aug 13,Upwork Market BuyAug 13,$43.371 share at $43.37,$43.37,$43.37
301,Aug 13,Rackspace Technology Market BuyAug 13,$27.262 shares at $13.63,$27.262,$13.63
302,Aug 13,Big Lots Market SellAug 13,$58.761 share at $58.76,$58.76,$58.76
303,Aug 13,Direxion Hydrogen ETF Limit BuyAug 13,$104.005 shares at $20.80,$104.005,$20.80
304,Aug 13,Bloom Energy Market BuyAug 13,$64.773 shares at $21.59,$64.773,$21.59
305,Aug 13,Plug Power Market BuyAug 13,$76.703 shares at $25.57,$76.703,$25.57
306,Aug 13,Azul Airlines Market BuyAug 13,$41.862 shares at $20.93,$41.862,$20.93
307,Aug 13,Corsair Gaming Market BuyAug 13,$54.022 shares at $27.01,$54.022,$27.01
308,Aug 13,Hyliion Market BuyAug 13,$86.8010 shares at $8.68,$86.8010,$8.68
309,Aug 13,Eargo Market BuyAug 13,$27.061 share at $27.06,$27.06,$27.06
310,Aug 13,QuantumScape Market BuyAug 13,$43.502 shares at $21.75,$43.502,$21.75
311,Aug 13,Rackspace Technology Market BuyAug 13,$27.902 shares at $13.95,$27.902,$13.95
312,Aug 13,Hyliion Market BuyAug 13,$89.7010 shares at $8.97,$89.7010,$8.97
313,Aug 12,Nexa Resources Limit BuyAug 12,$77.4010 shares at $7.74,$77.4010,$7.74
314,Aug 12,Eargo Market BuyAug 12,$31.921 share at $31.92,$31.92,$31.92
315,Aug 12,Desktop Metal Market BuyAug 12,$41.685 shares at $8.34,$41.685,$8.34
316,Aug 12,Ballard Power Systems Market BuyAug 12,$77.435 shares at $15.49,$77.435,$15.49
317,Aug 12,Plug Power Market BuyAug 12,$129.805 shares at $25.96,$129.805,$25.96
318,Aug 12,Desktop Metal Limit BuyAug 12,$43.105 shares at $8.62,$43.105,$8.62
319,Aug 12,Nexa Resources Market BuyAug 12,$78.0010 shares at $7.80,$78.0010,$7.80
320,Aug 12,Lam Research Market BuyAug 12,$58.690.1 shares at $586.90,$58.690.1,$586.90
321,Aug 12,Ballard Power Systems Market BuyAug 12,$78.035 shares at $15.61,$78.035,$15.61
322,Aug 12,Clean Energy Fuels Market SellAug 12,$251.4030 shares at $8.38,$251.4030,$8.38
323,Aug 12,Trinseo Market BuyAug 12,$103.962 shares at $51.98,$103.962,$51.98
324,Aug 12,Plug Power Market BuyAug 12,$132.005 shares at $26.40,$132.005,$26.40
325,Aug 12,Rackspace Technology Market BuyAug 12,$56.514 shares at $14.13,$56.514,$14.13
326,Aug 12,QuantumScape Market BuyAug 12,$44.522 shares at $22.26,$44.522,$22.26
327,Aug 12,Hyliion Market BuyAug 12,$45.545 shares at $9.11,$45.545,$9.11
328,Aug 12,Velodyne Lidar Limit BuyAug 12,$112.9515 shares at $7.53,$112.9515,$7.53
329,Aug 11,Rackspace Technology Limit BuyAug 11,$15.651 share at $15.65,$15.65,$15.65
330,Aug 11,Big Lots Market SellAug 11,$58.471 share at $58.47,$58.47,$58.47
331,Aug 11,Cummins Market SellAug 11,$287.571.2 shares at $239.64,$287.571.2,$239.64
332,Aug 11,Desktop Metal Market BuyAug 11,$43.945 shares at $8.79,$43.945,$8.79
333,Aug 11,Poshmark Market BuyAug 11,$28.311 share at $28.31,$28.31,$28.31
334,Aug 11,Hyliion Limit BuyAug 11,$93.4910 shares at $9.35,$93.4910,$9.35
335,Aug 11,Rackspace Technology Market BuyAug 11,$49.733 shares at $16.58,$49.733,$16.58
336,Aug 11,Poshmark Market BuyAug 11,$28.891 share at $28.89,$28.89,$28.89
337,Aug 10,Merck Market BuyAug 10,$74.931 share at $74.93,$74.93,$74.93
338,Aug 10,Desktop Metal Limit SellAug 10,$96.1210 shares at $9.61,$96.1210,$9.61
339,Aug 10,Nintendo Limit BuyAug 10,$56.771 share at $56.77,$56.77,$56.77
340,Aug 10,Magna Market SellAug 10,$85.901 share at $85.90,$85.90,$85.90
341,Aug 10,Nintendo Limit BuyAug 10,$56.861 share at $56.86,$56.86,$56.86
342,Aug 10,Tapestry Market SellAug 10,$44.661 share at $44.66,$44.66,$44.66
343,Aug 10,Etsy Market SellAug 10,$188.541 share at $188.54,$188.54,$188.54
344,Aug 10,Big Lots Limit BuyAug 10,Canceled,,
345,Aug 10,Hyliion Market SellAug 10,$50.705 shares at $10.14,$50.705,$10.14
346,Aug 10,Bloom Energy Market SellAug 10,$120.895 shares at $24.18,$120.895,$24.18
347,Aug 10,Porsche Limit BuyAug 10,$51.855 shares at $10.37,$51.855,$10.37
348,Aug 10,Bloom Energy Market SellAug 10,$239.8010 shares at $23.98,$239.8010,$23.98
349,Aug 10,Ballard Power Systems Market SellAug 10,$86.205 shares at $17.24,$86.205,$17.24
350,Aug 10,Plug Power Market SellAug 10,$150.555 shares at $30.11,$150.555,$30.11
351,Aug 10,Nintendo Limit BuyAug 10,$57.501 share at $57.50,$57.50,$57.50
352,Aug 9,Velodyne Lidar Limit SellAug 9,$83.3510 shares at $8.34,$83.3510,$8.34
353,Aug 9,Coinbase Market SellAug 9,$139.910.5 shares at $279.82,$139.910.5,$279.82
354,Aug 9,Canadian Solar Market SellAug 9,$82.502 shares at $41.25,$82.502,$41.25
355,Aug 9,Roblox Market SellAug 9,$84.921 share at $84.92,$84.92,$84.92
356,Aug 9,QuantumScape Market SellAug 9,$73.303 shares at $24.43,$73.303,$24.43
357,Aug 9,Plug Power Limit SellAug 9,$575.0020 shares at $28.75,$575.0020,$28.75
358,Aug 9,Ballard Power Systems Limit SellAug 9,$498.3030 shares at $16.61,$498.3030,$16.61
359,Aug 9,Bloom Energy Limit SellAug 9,Canceled,,
360,Aug 9,Beyond Meat Market SellAug 9,$53.240.410374 shares at $129.74,$53.240.410374,$129.74
361,Aug 9,Fastly Market SellAug 9,$89.252 shares at $44.63,$89.252,$44.63
362,Aug 9,Nexa Resources Limit BuyAug 9,$80.0010 shares at $8.00,$80.0010,$8.00
363,Aug 9,LyondellBasell Limit BuyAug 9,$99.381 share at $99.38,$99.38,$99.38
364,Aug 9,Rackspace Technology Limit BuyAug 9,$34.502 shares at $17.25,$34.502,$17.25
365,Aug 9,Velodyne Lidar Limit SellAug 9,$162.8020 shares at $8.14,$162.8020,$8.14
366,Aug 9,Nexa Resources Limit BuyAug 9,Canceled,,
367,Aug 9,Clean Energy Fuels Limit SellAug 9,$227.7030 shares at $7.59,$227.7030,$7.59
368,Aug 9,Azul Airlines Limit BuyAug 9,$64.223 shares at $21.41,$64.223,$21.41
369,Aug 9,RE/MAX Limit SellAug 9,$69.182 shares at $34.59,$69.182,$34.59
370,Aug 9,Nintendo Limit BuyAug 9,$59.071 share at $59.07,$59.07,$59.07
371,Aug 9,Roblox Market SellAug 9,$84.831 share at $84.83,$84.83,$84.83
372,Aug 9,Coinbase Market SellAug 9,$139.240.5 shares at $278.48,$139.240.5,$278.48
373,Aug 9,QuantumScape Limit SellAug 9,$96.364 shares at $24.09,$96.364,$24.09
374,Aug 9,Velodyne Lidar Limit SellAug 9,$80.3110 shares at $8.03,$80.3110,$8.03
375,Aug 9,Air Products & Chemicals Market BuyAug 9,$40.920.15 shares at $272.80,$40.920.15,$272.80
376,Aug 6,Pfizer Market SellAug 6,$45.081 share at $45.08,$45.08,$45.08
377,Aug 6,Siemens Limit SellAug 6,Canceled,,
378,Aug 6,Tapestry Market SellAug 6,$87.362 shares at $43.68,$87.362,$43.68
379,Aug 6,Pinnacle West Market SellAug 6,$242.683 shares at $80.89,$242.683,$80.89
380,Aug 6,AerCap Market SellAug 6,$54.401 share at $54.40,$54.40,$54.40
381,Aug 6,Delta Air Lines Market SellAug 6,$40.181 share at $40.18,$40.18,$40.18
382,Aug 6,Southwest Airlines Market SellAug 6,$50.601 share at $50.60,$50.60,$50.60
383,Aug 6,Air Transport Services Market SellAug 6,$53.562 shares at $26.78,$53.562,$26.78
384,Aug 6,Air Transport Services Market SellAug 6,$53.422 shares at $26.71,$53.422,$26.71
385,Aug 6,Nintendo Market BuyAug 6,$59.161 share at $59.16,$59.16,$59.16
386,Aug 6,Upwork Limit BuyAug 6,$44.651 share at $44.65,$44.65,$44.65
387,Aug 6,Big Lots Market BuyAug 6,$55.111 share at $55.11,$55.11,$55.11
388,Aug 6,Coinbase Market SellAug 6,$64.730.25 shares at $258.92,$64.730.25,$258.92
389,Aug 6,Nintendo Limit BuyAug 6,$60.001 share at $60.00,$60.00,$60.00
390,Aug 6,Magna Limit BuyAug 6,Canceled,,
391,Aug 5,Airbnb Market SellAug 5,$75.020.5 shares at $150.04,$75.020.5,$150.04
392,Aug 5,Cummins Market BuyAug 5,$114.010.5 shares at $228.02,$114.010.5,$228.02
393,Aug 5,Bayer Market BuyAug 5,$27.422 shares at $13.71,$27.422,$13.71
394,Aug 5,CIGNA Corporation Market BuyAug 5,$101.030.5 shares at $202.06,$101.030.5,$202.06
395,Aug 5,Nintendo Market BuyAug 5,$61.971 share at $61.97,$61.97,$61.97
396,Aug 5,Desktop Metal Limit SellAug 5,$65.387 shares at $9.34,$65.387,$9.34
397,Aug 5,Clean Energy Fuels Limit SellAug 5,$253.4735 shares at $7.24,$253.4735,$7.24
398,Aug 5,Sempra Market SellAug 5,$131.961 share at $131.96,$131.96,$131.96
399,Aug 5,Siemens Market SellAug 5,$83.221 share at $83.22,$83.22,$83.22
400,Aug 5,Tesla Limit BuyAug 5,Canceled,,
401,Aug 5,Nintendo Market BuyAug 5,$63.041 share at $63.04,$63.04,$63.04
402,Aug 5,Kraft Foods Market BuyAug 5,$36.561 share at $36.56,$36.56,$36.56
403,Aug 5,Pinnacle West Market BuyAug 5,$76.831 share at $76.83,$76.83,$76.83
404,Aug 4,Bloom Energy Limit BuyAug 4,$19.861 share at $19.86,$19.86,$19.86
405,Aug 4,Uber Limit SellAug 4,$123.303 shares at $41.10,$123.303,$41.10
406,Aug 4,Clean Energy Fuels Limit BuyAug 4,$34.455 shares at $6.89,$34.455,$6.89
407,Aug 4,American Axle & Manufacturing Limit BuyAug 4,$102.0811 shares at $9.28,$102.0811,$9.28
408,Aug 4,Delta Air Lines Market BuyAug 4,$38.061 share at $38.06,$38.06,$38.06
409,Aug 4,Southwest Airlines Market BuyAug 4,$48.751 share at $48.75,$48.75,$48.75
410,Aug 4,Coinbase Market SellAug 4,$239.291 share at $239.29,$239.29,$239.29
411,Aug 4,Fastly Market BuyAug 4,$44.291 share at $44.29,$44.29,$44.29
412,Aug 4,Kraft Foods Market BuyAug 4,$36.911 share at $36.91,$36.91,$36.91
413,Aug 4,AerCap Market BuyAug 4,$51.771 share at $51.77,$51.77,$51.77
414,Aug 4,Fastly Market BuyAug 4,$44.341 share at $44.34,$44.34,$44.34
415,Aug 4,Pinnacle West Market BuyAug 4,$77.591 share at $77.59,$77.59,$77.59
416,Aug 4,Clean Energy Fuels Limit BuyAug 4,$106.2015 shares at $7.08,$106.2015,$7.08
417,Aug 4,Lam Research Market SellAug 4,$65.410.1 shares at $654.10,$65.410.1,$654.10
418,Aug 4,Etsy Market SellAug 4,$197.631 share at $197.63,$197.63,$197.63
419,Aug 4,U.S. Xpress Limit BuyAug 4,Canceled,,
420,Aug 4,Clean Energy Fuels Limit BuyAug 4,$106.5015 shares at $7.10,$106.5015,$7.10
421,Aug 4,Sempra Limit BuyAug 4,$130.651 share at $130.65,$130.65,$130.65
422,Aug 4,Pinnacle West Market BuyAug 4,$78.921 share at $78.92,$78.92,$78.92
423,Aug 4,Ralph Lauren Market SellAug 4,$125.101 share at $125.10,$125.10,$125.10
424,Aug 4,Big Lots Market BuyAug 4,$56.121 share at $56.12,$56.12,$56.12
425,Aug 4,Corsair Gaming Market BuyAug 4,$26.861 share at $26.86,$26.86,$26.86
426,Aug 4,Kraft Foods Market BuyAug 4,$37.601 share at $37.60,$37.60,$37.60
427,Aug 3,CRISPR Market BuyAug 3,$121.341 share at $121.34,$121.34,$121.34
428,Aug 3,Beyond Meat Market BuyAug 3,$50.000.410374 shares at $121.84,$50.000.410374,$121.84
429,Aug 3,Lam Research Market SellAug 3,$64.290.1 shares at $642.90,$64.290.1,$642.90
430,Aug 3,Air Transport Services Market SellAug 3,$24.931 share at $24.93,$24.93,$24.93
431,Aug 3,Intel Market SellAug 3,$54.031 share at $54.03,$54.03,$54.03
432,Aug 3,Tapestry Market SellAug 3,$43.331 share at $43.33,$43.33,$43.33
433,Aug 3,Sunrun Market SellAug 3,$26.760.5 shares at $53.52,$26.760.5,$53.52
434,Aug 3,Rackspace Technology Market BuyAug 3,$17.351 share at $17.35,$17.35,$17.35
435,Aug 3,Corsair Gaming Market BuyAug 3,$27.131 share at $27.13,$27.13,$27.13
436,Aug 3,Desktop Metal Limit BuyAug 3,$60.337 shares at $8.62,$60.337,$8.62
437,Aug 3,Velodyne Lidar Limit BuyAug 3,$75.4510 shares at $7.55,$75.4510,$7.55
438,Aug 3,QuantumScape Market BuyAug 3,$21.811 share at $21.81,$21.81,$21.81
439,Aug 3,Dollar Tree Market SellAug 3,$101.701 share at $101.70,$101.70,$101.70
440,Aug 3,Uber Market BuyAug 3,$20.990.5 shares at $41.98,$20.990.5,$41.98
441,Aug 3,Azul Airlines Market BuyAug 3,$21.431 share at $21.43,$21.43,$21.43
442,Aug 3,Tanger Factory Outlet Centers Limit BuyAug 3,$33.162 shares at $16.58,$33.162,$16.58
443,Aug 3,Roblox Market BuyAug 3,$37.060.5 shares at $74.12,$37.060.5,$74.12
444,Aug 3,QuantumScape Market BuyAug 3,$21.991 share at $21.99,$21.99,$21.99
445,Aug 3,Reynolds Consumer Products Limit BuyAug 3,Canceled,,
446,Aug 2,Ethereum Market SellAug 2,"$41.220.015643 Ethereum at $2,635.64",$41.22,"$2,635.64"
447,Aug 2,Bitcoin Market SellAug 2,"$199.140.00502454 Bitcoin at $39,634.60",$199.14,"$39,634.60"
448,Aug 2,Tanger Factory Outlet Centers Limit BuyAug 2,$17.081 share at $17.08,$17.08,$17.08
449,Aug 2,Kimberly-Clark Limit BuyAug 2,Canceled,,
450,Aug 2,Airbnb Market SellAug 2,$146.051 share at $146.05,$146.05,$146.05
451,Aug 2,Merck Limit BuyAug 2,Canceled,,
452,Aug 2,Ralph Lauren Market SellAug 2,$176.011.5 shares at $117.34,$176.011.5,$117.34
453,Aug 2,Bitcoin Market SellAug 2,"$7.990.0002006 Bitcoin at $39,879.29",$7.99,"$39,879.29"
454,Aug 2,Ethereum Market SellAug 2,"$19.980.007529 Ethereum at $2,655.04",$19.98,"$2,655.04"
455,Aug 2,QuantumScape Market BuyAug 2,$22.021 share at $22.02,$22.02,$22.02
456,Aug 16,Dividend from AESAug 16,$0.15,,
457,Aug 16,Dividend from SPDR Dow Jones Industrial Average ETFAug 16,$0.02,,
458,Aug 12,Dividend from PorscheAug 12,$1.69,,
459,Aug 9,Dividend from Air Products & ChemicalsAug 9,$0.15,,
460,Aug 2,Dividend from VerizonAug 2,$1.26,,
461,Jul 30,Qualcomm Limit BuyJul 30,Canceled,,
462,Jul 30,Qorvo Limit BuyJul 30,Canceled,,
463,Jul 30,Enphase Energy Market SellJul 30,$27.910.15 shares at $186.07,$27.910.15,$186.07
464,Jul 30,Pfizer Market BuyJul 30,$42.901 share at $42.90,$42.90,$42.90
465,Jul 30,Cisco Systems Market SellJul 30,$55.451 share at $55.45,$55.45,$55.45
466,Jul 30,Etsy Market BuyJul 30,$46.420.25 shares at $185.68,$46.420.25,$185.68
467,Jul 30,Kraft Foods Market BuyJul 30,$38.791 share at $38.79,$38.79,$38.79
468,Jul 30,Ralph Lauren Market SellJul 30,$116.111 share at $116.11,$116.11,$116.11
469,Jul 30,Skyworks Limit BuyJul 30,$178.001 share at $178.00,$178.00,$178.00
470,Jul 30,Skyworks Market BuyJul 30,$35.660.2 shares at $178.30,$35.660.2,$178.30
471,Jul 30,Etsy Market BuyJul 30,$47.450.25 shares at $189.80,$47.450.25,$189.80
472,Jul 30,Nintendo Limit BuyJul 30,$64.431 share at $64.43,$64.43,$64.43
473,Jul 29,QuantumScape Market BuyJul 29,$22.551 share at $22.55,$22.55,$22.55
474,Jul 29,Corning Market SellJul 29,$41.921 share at $41.92,$41.92,$41.92
475,Jul 29,Qualcomm Market SellJul 29,$165.761.1 shares at $150.69,$165.761.1,$150.69
476,Jul 29,Tesla Market SellJul 29,$102.290.15 shares at $681.93,$102.290.15,$681.93
477,Jul 29,U.S. Xpress Limit SellJul 29,$268.8030 shares at $8.96,$268.8030,$8.96
478,Jul 29,Skyworks Market SellJul 29,$39.450.2 shares at $197.25,$39.450.2,$197.25
479,Jul 29,Nintendo Limit BuyJul 29,$66.781 share at $66.78,$66.78,$66.78
480,Jul 29,Lam Research Market BuyJul 29,$60.420.1 shares at $604.20,$60.420.1,$604.20
481,Jul 28,Desktop Metal Limit SellJul 28,$141.2315 shares at $9.42,$141.2315,$9.42
482,Jul 28,QuantumScape Market SellJul 28,$96.144 shares at $24.04,$96.144,$24.04
483,Jul 28,Cummins Market BuyJul 28,$57.770.25 shares at $231.08,$57.770.25,$231.08
484,Jul 28,Nexa Resources Limit SellJul 28,$85.5010 shares at $8.55,$85.5010,$8.55
485,Jul 28,Nexa Resources Stop Loss SellJul 28,Rejected,,
486,Jul 28,Clean Energy Fuels Limit SellJul 28,$231.1530 shares at $7.71,$231.1530,$7.71
487,Jul 28,Tesla Limit BuyJul 28,Canceled,,
488,Jul 28,Ralph Lauren Market BuyJul 28,$108.881 share at $108.88,$108.88,$108.88
489,Jul 28,Magna Market BuyJul 28,$81.261 share at $81.26,$81.26,$81.26
490,Jul 28,Kraft Foods Limit BuyJul 28,$38.871 share at $38.87,$38.87,$38.87
491,Jul 28,Huntsman Limit BuyJul 28,$25.801 share at $25.80,$25.80,$25.80
492,Jul 28,Velodyne Lidar Limit SellJul 28,$163.8020 shares at $8.19,$163.8020,$8.19
493,Jul 28,Cummins Market BuyJul 28,$58.120.25 shares at $232.48,$58.120.25,$232.48
494,Jul 28,Clean Energy Fuels Limit SellJul 28,Canceled,,
495,Jul 28,Bloom Energy Limit SellJul 28,$107.055 shares at $21.41,$107.055,$21.41
496,Jul 28,Ballard Power Systems Limit SellJul 28,$80.255 shares at $16.05,$80.255,$16.05
497,Jul 28,Hyliion Limit SellJul 28,$59.316 shares at $9.89,$59.316,$9.89
498,Jul 28,Enphase Energy Market BuyJul 28,$25.260.15 shares at $168.40,$25.260.15,$168.40
499,Jul 28,Nintendo Market BuyJul 28,$67.181 share at $67.18,$67.18,$67.18
500,Jul 28,Linde Market SellJul 28,$148.520.5 shares at $297.04,$148.520.5,$297.04
501,Jul 28,Plug Power Limit SellJul 28,$375.4814 shares at $26.82,$375.4814,$26.82
502,Jul 27,ARK Space Exploration & Innovation Market BuyJul 27,$39.622 shares at $19.81,$39.622,$19.81
503,Jul 27,ARK Autonomous Technology & Robotics Market BuyJul 27,$38.520.5 shares at $77.04,$38.520.5,$77.04
504,Jul 27,Etsy Market BuyJul 27,$48.160.25 shares at $192.64,$48.160.25,$192.64
505,Jul 27,Skyworks Market BuyJul 27,$18.540.1 shares at $185.40,$18.540.1,$185.40
506,Jul 27,NextEra Energy Market SellJul 27,$74.941 share at $74.94,$74.94,$74.94
507,Jul 27,Medallia Limit SellJul 27,$134.404 shares at $33.60,$134.404,$33.60
508,Jul 27,KB Home Limit SellJul 27,$123.153 shares at $41.05,$123.153,$41.05
509,Jul 27,Sempra Market SellJul 27,$33.030.25 shares at $132.12,$33.030.25,$132.12
510,Jul 27,Tesla Market BuyJul 27,$95.220.15 shares at $634.80,$95.220.15,$634.80
511,Jul 27,Velodyne Lidar Limit BuyJul 27,$99.3213 shares at $7.64,$99.3213,$7.64
512,Jul 27,Clean Energy Fuels Limit BuyJul 27,$73.6010 shares at $7.36,$73.6010,$7.36
513,Jul 27,Clean Energy Fuels Limit BuyJul 27,$147.5520 shares at $7.38,$147.5520,$7.38
514,Jul 27,Hyliion Market BuyJul 27,$9.351 share at $9.35,$9.35,$9.35
515,Jul 27,Uber Market BuyJul 27,$22.590.5 shares at $45.18,$22.590.5,$45.18
516,Jul 27,Etsy Market BuyJul 27,$48.560.25 shares at $194.24,$48.560.25,$194.24
517,Jul 27,Sunrun Market BuyJul 27,$24.120.5 shares at $48.24,$24.120.5,$48.24
518,Jul 27,QuantumScape Market BuyJul 27,$21.331 share at $21.33,$21.33,$21.33
519,Jul 27,Corsair Gaming Market BuyJul 27,$28.641 share at $28.64,$28.64,$28.64
520,Jul 27,ARK Innovation ETF Market BuyJul 27,$58.310.5 shares at $116.62,$58.310.5,$116.62
521,Jul 27,Taiwan Semiconductor Manufacturing Market BuyJul 27,$28.250.25 shares at $113.00,$28.250.25,$113.00
522,Jul 27,Desktop Metal Limit BuyJul 27,$44.755 shares at $8.95,$44.755,$8.95
523,Jul 27,Velodyne Lidar Limit BuyJul 27,$38.255 shares at $7.65,$38.255,$7.65
524,Jul 27,Clean Energy Fuels Limit BuyJul 27,$29.684 shares at $7.42,$29.684,$7.42
525,Jul 27,Ballard Power Systems Limit BuyJul 27,$75.295 shares at $15.06,$75.295,$15.06
526,Jul 27,Clean Energy Fuels Limit BuyJul 27,Canceled,,
527,Jul 27,Qualcomm Market BuyJul 27,$14.070.1 shares at $140.70,$14.070.1,$140.70
528,Jul 27,Skyworks Market BuyJul 27,$18.850.1 shares at $188.50,$18.850.1,$188.50
529,Jul 27,Rackspace Technology Market BuyJul 27,$18.021 share at $18.02,$18.02,$18.02
530,Jul 27,Bayer Limit BuyJul 27,$14.841 share at $14.84,$14.84,$14.84
531,Jul 27,iShares Global Clean Energy ETF Limit BuyJul 27,$43.902 shares at $21.95,$43.902,$21.95
532,Jul 27,Intel Market BuyJul 27,$52.641 share at $52.64,$52.64,$52.64
533,Jul 27,Clean Energy Fuels Limit BuyJul 27,$14.902 shares at $7.45,$14.902,$7.45
534,Jul 27,Porsche Limit BuyJul 27,$31.293 shares at $10.43,$31.293,$10.43
535,Jul 27,Rackspace Technology Market BuyJul 27,$18.041 share at $18.04,$18.04,$18.04
536,Jul 27,Corsair Gaming Market BuyJul 27,$28.841 share at $28.84,$28.84,$28.84
537,Jul 27,Roblox Market BuyJul 27,$37.640.5 shares at $75.28,$37.640.5,$75.28
538,Jul 27,Bloom Energy Market BuyJul 27,$20.191 share at $20.19,$20.19,$20.19
539,Jul 27,Bloom Energy Market BuyJul 27,$20.211 share at $20.21,$20.21,$20.21
540,Jul 27,QuantumScape Limit BuyJul 27,$21.631 share at $21.63,$21.63,$21.63
541,Jul 27,Rackspace Technology Limit BuyJul 27,$18.161 share at $18.16,$18.16,$18.16
542,Jul 27,Intel Limit BuyJul 27,$52.651 share at $52.65,$52.65,$52.65
543,Jul 27,Ballard Power Systems Market BuyJul 27,$15.011 share at $15.01,$15.01,$15.01
544,Jul 27,Ballard Power Systems Market BuyJul 27,$15.031 share at $15.03,$15.03,$15.03
545,Jul 27,Bloom Energy Limit BuyJul 27,$20.421 share at $20.42,$20.42,$20.42
546,Jul 27,Corsair Gaming Limit BuyJul 27,$29.131 share at $29.13,$29.13,$29.13
547,Jul 27,ARK Autonomous Technology & Robotics Market BuyJul 27,$39.260.5 shares at $78.52,$39.260.5,$78.52
548,Jul 27,ARK Genomic Revolution ETF Market BuyJul 27,$41.310.5 shares at $82.62,$41.310.5,$82.62
549,Jul 27,Ballard Power Systems Limit BuyJul 27,$15.151 share at $15.15,$15.15,$15.15
550,Jul 27,Nexa Resources Limit BuyJul 27,$81.5010 shares at $8.15,$81.5010,$8.15
551,Jul 26,Bitcoin Market SellJul 26,"$182.990.0047858 Bitcoin at $38,238.12",$182.99,"$38,238.12"
