,Date,Type,Total,Total for Shares,Price per share,Year,"B,S,D,O",Stock Name,Float Total,Sell?,Dividend?,Buy?,
184,18-Aug,Hyliion Limit SellAug 18,$41.005 shares at $8.20,41.00,$8.20 ,2021,Sell,Hyliion ,41,-41,0,0,
185,18-Aug,Desktop Metal Limit SellAug 18,$100.1013 shares at $7.70,100.10,$7.70 ,2021,Sell,Desktop Metal ,100.1,-100.1,0,0,
186,18-Aug,Energizer Market BuyAug 18,$40.101 share at $40.10,40.10,$40.10 ,2021,Buy,Energizer ,40.1,0,0,40.1,
187,18-Aug,Nexa Resources Limit BuyAug 18,$34.655 shares at $6.93,34.60,$6.93 ,2021,Buy,Nexa Resources ,34.6,0,0,34.6,
188,18-Aug,Rackspace Technology Market BuyAug 18,$26.702 shares at $13.35,26.70,$13.35 ,2021,Buy,Rackspace Technology ,26.7,0,0,26.7,
189,18-Aug,Porsche Limit BuyAug 18,$48.955 shares at $9.79,48.90,$9.79 ,2021,Buy,Porsche ,48.9,0,0,48.9,
190,18-Aug,Desktop Metal Market SellAug 18,$37.965 shares at $7.59,37.90,$7.59 ,2021,Sell,Desktop Metal ,37.9,-37.9,0,0,
191,17-Aug,Canadian Solar Market BuyAug 17,$34.671 share at $34.67,34.60,$34.67 ,2021,Buy,Canadian Solar ,34.6,0,0,34.6,
192,17-Aug,Taiwan Semiconductor Manufacturing Market BuyAug 17,$110.951 share at $110.95,110.90,$110.95 ,2021,Buy,Taiwan Semiconductor Manufacturing ,110.9,0,0,110.9,
193,17-Aug,Nexa Resources Market BuyAug 17,$21.723 shares at $7.24,21.70,$7.24 ,2021,Buy,Nexa Resources ,21.7,0,0,21.7,
194,17-Aug,Cummins Market SellAug 17,$704.853 shares at $234.95,704.80,$234.95 ,2021,Sell,Cummins ,704.8,-704.8,0,0,
195,17-Aug,Sunrun Market BuyAug 17,$21.320.5 shares at $42.64,21.30,$42.64 ,2021,Buy,Sunrun ,21.3,0,0,21.3,
196,17-Aug,Coinbase Market BuyAug 17,$49.760.2 shares at $248.80,49.70,$248.80 ,2021,Buy,Coinbase ,49.7,0,0,49.7,
197,17-Aug,Dupont De Nemours Market BuyAug 17,$74.401 share at $74.40,74.40,$74.40 ,2021,Buy,Dupont De Nemours ,74.4,0,0,74.4,
198,17-Aug,JetBlue Airways Market BuyAug 17,$14.671 share at $14.67,14.60,$14.67 ,2021,Buy,JetBlue Airways ,14.6,0,0,14.6,
199,17-Aug,Azul Airlines Market BuyAug 17,$19.281 share at $19.28,19.20,$19.28 ,2021,Buy,Azul Airlines ,19.2,0,0,19.2,
200,17-Aug,Azul Airlines Market BuyAug 17,$19.291 share at $19.29,19.20,$19.29 ,2021,Buy,Azul Airlines ,19.2,0,0,19.2,
201,17-Aug,Dow Market BuyAug 17,$61.841 share at $61.84,61.80,$61.84 ,2021,Buy,Dow ,61.8,0,0,61.8,
202,17-Aug,International Airlines Group Limit BuyAug 17,$43.5010 shares at $4.35,43.50,$4.35 ,2021,Buy,International Airlines Group ,43.5,0,0,43.5,
203,17-Aug,Lam Research Market BuyAug 17,$57.520.1 shares at $575.20,57.50,$575.20 ,2021,Buy,Lam Research ,57.5,0,0,57.5,
204,17-Aug,Taiwan Semiconductor Manufacturing Market BuyAug 17,$27.850.25 shares at $111.40,27.80,$111.40 ,2021,Buy,Taiwan Semiconductor Manufacturing ,27.8,0,0,27.8,
205,17-Aug,QuantumScape Market BuyAug 17,$20.061 share at $20.06,20.00,$20.06 ,2021,Buy,QuantumScape ,20,0,0,20,
206,17-Aug,Taiwan Semiconductor Manufacturing Market BuyAug 17,$27.900.25 shares at $111.60,27.90,$111.60 ,2021,Buy,Taiwan Semiconductor Manufacturing ,27.9,0,0,27.9,
207,17-Aug,Tesla Market BuyAug 17,$98.960.15 shares at $659.73,98.90,$659.73 ,2021,Buy,Tesla ,98.9,0,0,98.9,
208,17-Aug,Canadian Solar Market BuyAug 17,$35.121 share at $35.12,35.10,$35.12 ,2021,Buy,Canadian Solar ,35.1,0,0,35.1,
209,17-Aug,Nexa Resources Limit BuyAug 17,$74.5010 shares at $7.45,74.50,$7.45 ,2021,Buy,Nexa Resources ,74.5,0,0,74.5,
210,17-Aug,Trinseo Market BuyAug 17,$48.341 share at $48.34,48.30,$48.34 ,2021,Buy,Trinseo ,48.3,0,0,48.3,
211,17-Aug,First Trust Global Wind Energy ETF Market BuyAug 17,$42.122 shares at $21.06,42.10,$21.06 ,2021,Buy,First Trust Global Wind Energy ETF ,42.1,0,0,42.1,
212,17-Aug,Direxion Hydrogen ETF Limit BuyAug 17,$60.183 shares at $20.06,60.10,$20.06 ,2021,Buy,Direxion Hydrogen ETF ,60.1,0,0,60.1,
213,17-Aug,Hyliion Limit BuyAug 17,$24.003 shares at $8.00,24.00,$8.00 ,2021,Buy,Hyliion ,24,0,0,24,
214,17-Aug,Porsche Limit BuyAug 17,$30.273 shares at $10.09,30.20,$10.09 ,2021,Buy,Porsche ,30.2,0,0,30.2,
215,17-Aug,Desktop Metal Market BuyAug 17,$21.963 shares at $7.32,21.90,$7.32 ,2021,Buy,Desktop Metal ,21.9,0,0,21.9,
216,17-Aug,Merck Market SellAug 17,$78.681 share at $78.68,78.60,$78.68 ,2021,Sell,Merck ,78.6,-78.6,0,0,
217,17-Aug,Porsche Limit BuyAug 17,$20.222 shares at $10.11,20.20,$10.11 ,2021,Buy,Porsche ,20.2,0,0,20.2,
218,17-Aug,ARK Innovation ETF Market BuyAug 17,$57.690.5 shares at $115.38,57.60,$115.38 ,2021,Buy,ARK Innovation ETF ,57.6,0,0,57.6,
219,17-Aug,QuantumScape Market BuyAug 17,$20.031 share at $20.03,20.00,$20.03 ,2021,Buy,QuantumScape ,20,0,0,20,
220,17-Aug,Hyliion Market BuyAug 17,$8.011 share at $8.01,8.00,$8.01 ,2021,Buy,Hyliion ,8,0,0,8,
221,17-Aug,iShares Global Clean Energy ETF Market BuyAug 17,$22.041 share at $22.04,22.00,$22.04 ,2021,Buy,iShares Global Clean Energy ETF ,22,0,0,22,
222,17-Aug,Bloom Energy Market BuyAug 17,$19.841 share at $19.84,19.80,$19.84 ,2021,Buy,Bloom Energy ,19.8,0,0,19.8,
223,17-Aug,Ballard Power Systems Market BuyAug 17,$14.481 share at $14.48,14.40,$14.48 ,2021,Buy,Ballard Power Systems ,14.4,0,0,14.4,
224,17-Aug,Magna Market BuyAug 17,$82.501 share at $82.50,82.50,$82.50 ,2021,Buy,Magna ,82.5,0,0,82.5,
225,17-Aug,ARK Genomic Revolution ETF Market BuyAug 17,$79.051 share at $79.05,79.00,$79.05 ,2021,Buy,ARK Genomic Revolution ETF ,79,0,0,79,
226,17-Aug,Huntsman Market BuyAug 17,$50.302 shares at $25.15,50.30,$25.15 ,2021,Buy,Huntsman ,50.3,0,0,50.3,
227,17-Aug,Southwest Airlines Market BuyAug 17,$48.821 share at $48.82,48.80,$48.82 ,2021,Buy,Southwest Airlines ,48.8,0,0,48.8,
228,17-Aug,Hyliion Market BuyAug 17,$8.011 share at $8.01,8.00,$8.01 ,2021,Buy,Hyliion ,8,0,0,8,
229,17-Aug,Bloom Energy Market BuyAug 17,$20.051 share at $20.05,20.00,$20.05 ,2021,Buy,Bloom Energy ,20,0,0,20,
230,17-Aug,Taiwan Semiconductor Manufacturing Market BuyAug 17,$27.980.25 shares at $111.92,27.90,$111.92 ,2021,Buy,Taiwan Semiconductor Manufacturing ,27.9,0,0,27.9,
231,17-Aug,Ballard Power Systems Market BuyAug 17,$14.611 share at $14.61,14.60,$14.61 ,2021,Buy,Ballard Power Systems ,14.6,0,0,14.6,
232,17-Aug,Enphase Energy Market BuyAug 17,$81.190.5 shares at $162.38,81.10,$162.38 ,2021,Buy,Enphase Energy ,81.1,0,0,81.1,
233,17-Aug,Velodyne Lidar Market BuyAug 17,$26.524 shares at $6.63,26.50,$6.63 ,2021,Buy,Velodyne Lidar ,26.5,0,0,26.5,
234,17-Aug,Desktop Metal Market BuyAug 17,$14.652 shares at $7.33,14.60,$7.33 ,2021,Buy,Desktop Metal ,14.6,0,0,14.6,
235,17-Aug,Azul Airlines Market BuyAug 17,$39.242 shares at $19.62,39.20,$19.62 ,2021,Buy,Azul Airlines ,39.2,0,0,39.2,
236,17-Aug,Rackspace Technology Market BuyAug 17,$26.912 shares at $13.46,26.90,$13.46 ,2021,Buy,Rackspace Technology ,26.9,0,0,26.9,
237,17-Aug,Porsche Limit BuyAug 17,$50.755 shares at $10.15,50.70,$10.15 ,2021,Buy,Porsche ,50.7,0,0,50.7,
238,17-Aug,Canadian Solar Market BuyAug 17,$35.871 share at $35.87,35.80,$35.87 ,2021,Buy,Canadian Solar ,35.8,0,0,35.8,
239,17-Aug,Sunrun Market BuyAug 17,$21.840.5 shares at $43.68,21.80,$43.68 ,2021,Buy,Sunrun ,21.8,0,0,21.8,
240,17-Aug,Intel Market BuyAug 17,$52.711 share at $52.71,52.70,$52.71 ,2021,Buy,Intel ,52.7,0,0,52.7,
241,17-Aug,QuantumScape Market BuyAug 17,$20.211 share at $20.21,20.20,$20.21 ,2021,Buy,QuantumScape ,20.2,0,0,20.2,
242,16-Aug,Roblox Market BuyAug 16,$39.780.5 shares at $79.56,39.70,$79.56 ,2021,Buy,Roblox ,39.7,0,0,39.7,
243,16-Aug,Clean Energy Fuels Limit BuyAug 16,$35.905 shares at $7.18,35.90,$7.18 ,2021,Buy,Clean Energy Fuels ,35.9,0,0,35.9,
244,16-Aug,Bloom Energy Market BuyAug 16,$40.802 shares at $20.40,40.80,$20.40 ,2021,Buy,Bloom Energy ,40.8,0,0,40.8,
245,16-Aug,Porsche Limit BuyAug 16,$101.6510 shares at $10.17,101.60,$10.17 ,2021,Buy,Porsche ,101.6,0,0,101.6,
246,16-Aug,Diamondback Energy Market BuyAug 16,$72.561 share at $72.56,72.50,$72.56 ,2021,Buy,Diamondback Energy ,72.5,0,0,72.5,
247,16-Aug,Hyliion Market BuyAug 16,$24.773 shares at $8.26,24.70,$8.26 ,2021,Buy,Hyliion ,24.7,0,0,24.7,
248,16-Aug,Clean Energy Fuels Market BuyAug 16,$72.8810 shares at $7.29,72.80,$7.29 ,2021,Buy,Clean Energy Fuels ,72.8,0,0,72.8,
249,16-Aug,U.S. Xpress Limit SellAug 16,$135.1515 shares at $9.01,135.10,$9.01 ,2021,Sell,U.S. Xpress ,135.1,-135.1,0,0,
250,16-Aug,Clean Energy Fuels Market BuyAug 16,$36.335 shares at $7.27,36.30,$7.27 ,2021,Buy,Clean Energy Fuels ,36.3,0,0,36.3,
251,16-Aug,Trinseo Market BuyAug 16,$49.081 share at $49.08,49.00,$49.08 ,2021,Buy,Trinseo ,49,0,0,49,
252,16-Aug,ARK Genomic Revolution ETF Market BuyAug 16,$79.711 share at $79.71,79.70,$79.71 ,2021,Buy,ARK Genomic Revolution ETF ,79.7,0,0,79.7,
253,16-Aug,ARK Innovation ETF Market BuyAug 16,$57.890.5 shares at $115.78,57.80,$115.78 ,2021,Buy,ARK Innovation ETF ,57.8,0,0,57.8,
254,16-Aug,Clean Energy Fuels Limit BuyAug 16,$109.2015 shares at $7.28,109.20,$7.28 ,2021,Buy,Clean Energy Fuels ,109.2,0,0,109.2,
255,16-Aug,Corsair Gaming Market BuyAug 16,$26.381 share at $26.38,26.30,$26.38 ,2021,Buy,Corsair Gaming ,26.3,0,0,26.3,
256,16-Aug,CRISPR Market BuyAug 16,$120.551 share at $120.55,120.50,$120.55 ,2021,Buy,CRISPR ,120.5,0,0,120.5,
257,16-Aug,ARK Next Generation Internet Market BuyAug 16,$72.290.5 shares at $144.58,72.20,$144.58 ,2021,Buy,ARK Next Generation Internet ,72.2,0,0,72.2,
258,16-Aug,Sunrun Market BuyAug 16,$22.420.5 shares at $44.84,22.40,$44.84 ,2021,Buy,Sunrun ,22.4,0,0,22.4,
259,16-Aug,Desktop Metal Limit BuyAug 16,$39.755 shares at $7.95,39.70,$7.95 ,2021,Buy,Desktop Metal ,39.7,0,0,39.7,
260,16-Aug,Coinbase Market BuyAug 16,$63.870.25 shares at $255.48,63.80,$255.48 ,2021,Buy,Coinbase ,63.8,0,0,63.8,
261,16-Aug,Bloom Energy Limit BuyAug 16,$61.773 shares at $20.59,61.70,$20.59 ,2021,Buy,Bloom Energy ,61.7,0,0,61.7,
262,16-Aug,ARK Innovation ETF Market BuyAug 16,$58.750.5 shares at $117.50,58.70,$117.50 ,2021,Buy,ARK Innovation ETF ,58.7,0,0,58.7,
263,16-Aug,Direxion Hydrogen ETF Limit BuyAug 16,$61.323 shares at $20.44,61.30,$20.44 ,2021,Buy,Direxion Hydrogen ETF ,61.3,0,0,61.3,
264,16-Aug,QuantumScape Market BuyAug 16,$20.941 share at $20.94,20.90,$20.94 ,2021,Buy,QuantumScape ,20.9,0,0,20.9,
265,16-Aug,VanEck Vectors Oil Services ETF Market BuyAug 16,$178.691 share at $178.69,178.60,$178.69 ,2021,Buy,VanEck Vectors Oil Services ETF ,178.6,0,0,178.6,
266,16-Aug,Azul Airlines Market BuyAug 16,$60.833 shares at $20.28,60.80,$20.28 ,2021,Buy,Azul Airlines ,60.8,0,0,60.8,
267,16-Aug,Velodyne Lidar Limit BuyAug 16,$70.3010 shares at $7.03,70.30,$7.03 ,2021,Buy,Velodyne Lidar ,70.3,0,0,70.3,
269,16-Aug,ARK Genomic Revolution ETF Market BuyAug 16,$80.521 share at $80.52,80.50,$80.52 ,2021,Buy,ARK Genomic Revolution ETF ,80.5,0,0,80.5,
270,16-Aug,Velodyne Lidar Market BuyAug 16,$21.333 shares at $7.11,21.30,$7.11 ,2021,Buy,Velodyne Lidar ,21.3,0,0,21.3,
271,16-Aug,QuantumScape Market BuyAug 16,$42.312 shares at $21.16,42.30,$21.16 ,2021,Buy,QuantumScape ,42.3,0,0,42.3,
272,16-Aug,Hyliion Market BuyAug 16,$25.623 shares at $8.54,25.60,$8.54 ,2021,Buy,Hyliion ,25.6,0,0,25.6,
273,16-Aug,Ballard Power Systems Market BuyAug 16,$29.902 shares at $14.95,29.90,$14.95 ,2021,Buy,Ballard Power Systems ,29.9,0,0,29.9,
274,16-Aug,Plug Power Limit BuyAug 16,$24.751 share at $24.75,24.70,$24.75 ,2021,Buy,Plug Power ,24.7,0,0,24.7,
275,16-Aug,Porsche Limit BuyAug 16,$20.842 shares at $10.42,20.80,$10.42 ,2021,Buy,Porsche ,20.8,0,0,20.8,
276,16-Aug,Plug Power Limit BuyAug 16,$24.731 share at $24.73,24.70,$24.73 ,2021,Buy,Plug Power ,24.7,0,0,24.7,
277,16-Aug,Hyliion Limit BuyAug 16,$43.505 shares at $8.70,43.50,$8.70 ,2021,Buy,Hyliion ,43.5,0,0,43.5,
282,13-Aug,Rackspace Technology Market BuyAug 13,$27.112 shares at $13.56,27.10,$13.56 ,2021,Buy,Rackspace Technology ,27.1,0,0,27.1,
283,13-Aug,Desktop Metal Market BuyAug 13,$25.193 shares at $8.40,25.10,$8.40 ,2021,Buy,Desktop Metal ,25.1,0,0,25.1,
284,13-Aug,Ballard Power Systems Market BuyAug 13,$45.363 shares at $15.12,45.30,$15.12 ,2021,Buy,Ballard Power Systems ,45.3,0,0,45.3,
285,13-Aug,Plug Power Market BuyAug 13,$75.293 shares at $25.10,75.20,$25.10 ,2021,Buy,Plug Power ,75.2,0,0,75.2,
286,13-Aug,GoodRx Market SellAug 13,$36.551 share at $36.55,36.50,$36.55 ,2021,Sell,GoodRx ,36.5,-36.5,0,0,
287,13-Aug,Airbnb Market SellAug 13,$150.831 share at $150.83,150.80,$150.83 ,2021,Sell,Airbnb ,150.8,-150.8,0,0,
288,13-Aug,Bloom Energy Market BuyAug 13,$64.113 shares at $21.37,64.10,$21.37 ,2021,Buy,Bloom Energy ,64.1,0,0,64.1,
289,13-Aug,Ballard Power Systems Market BuyAug 13,$30.442 shares at $15.22,30.40,$15.22 ,2021,Buy,Ballard Power Systems ,30.4,0,0,30.4,
290,13-Aug,Eargo Market BuyAug 13,$25.201 share at $25.20,25.20,$25.20 ,2021,Buy,Eargo ,25.2,0,0,25.2,
291,13-Aug,Siemens Limit SellAug 13,$83.931 share at $83.93,83.90,$83.93 ,2021,Sell,Siemens ,83.9,-83.9,0,0,
292,13-Aug,Velodyne Lidar Market BuyAug 13,$36.905 shares at $7.38,36.90,$7.38 ,2021,Buy,Velodyne Lidar ,36.9,0,0,36.9,
293,13-Aug,Plug Power Market BuyAug 13,$50.772 shares at $25.39,50.70,$25.39 ,2021,Buy,Plug Power ,50.7,0,0,50.7,
294,13-Aug,JetBlue Airways Market BuyAug 13,$46.463 shares at $15.49,46.40,$15.49 ,2021,Buy,JetBlue Airways ,46.4,0,0,46.4,
295,13-Aug,Velodyne Lidar Market BuyAug 13,$22.173 shares at $7.39,22.10,$7.39 ,2021,Buy,Velodyne Lidar ,22.1,0,0,22.1,
296,13-Aug,Rackspace Technology Market BuyAug 13,$27.222 shares at $13.61,27.20,$13.61 ,2021,Buy,Rackspace Technology ,27.2,0,0,27.2,
298,13-Aug,Eargo Market BuyAug 13,$25.991 share at $25.99,25.90,$25.99 ,2021,Buy,Eargo ,25.9,0,0,25.9,
299,13-Aug,Lam Research Market BuyAug 13,$57.930.1 shares at $579.30,57.90,$579.30 ,2021,Buy,Lam Research ,57.9,0,0,57.9,
300,13-Aug,Upwork Market BuyAug 13,$43.371 share at $43.37,43.30,$43.37 ,2021,Buy,Upwork ,43.3,0,0,43.3,
301,13-Aug,Rackspace Technology Market BuyAug 13,$27.262 shares at $13.63,27.20,$13.63 ,2021,Buy,Rackspace Technology ,27.2,0,0,27.2,
302,13-Aug,Big Lots Market SellAug 13,$58.761 share at $58.76,58.70,$58.76 ,2021,Sell,Big Lots ,58.7,-58.7,0,0,
303,13-Aug,Direxion Hydrogen ETF Limit BuyAug 13,$104.005 shares at $20.80,104.00,$20.80 ,2021,Buy,Direxion Hydrogen ETF ,104,0,0,104,
304,13-Aug,Bloom Energy Market BuyAug 13,$64.773 shares at $21.59,64.70,$21.59 ,2021,Buy,Bloom Energy ,64.7,0,0,64.7,
305,13-Aug,Plug Power Market BuyAug 13,$76.703 shares at $25.57,76.70,$25.57 ,2021,Buy,Plug Power ,76.7,0,0,76.7,
306,13-Aug,Azul Airlines Market BuyAug 13,$41.862 shares at $20.93,41.80,$20.93 ,2021,Buy,Azul Airlines ,41.8,0,0,41.8,
307,13-Aug,Corsair Gaming Market BuyAug 13,$54.022 shares at $27.01,54.00,$27.01 ,2021,Buy,Corsair Gaming ,54,0,0,54,
308,13-Aug,Hyliion Market BuyAug 13,$86.8010 shares at $8.68,86.80,$8.68 ,2021,Buy,Hyliion ,86.8,0,0,86.8,
309,13-Aug,Eargo Market BuyAug 13,$27.061 share at $27.06,27.00,$27.06 ,2021,Buy,Eargo ,27,0,0,27,
310,13-Aug,QuantumScape Market BuyAug 13,$43.502 shares at $21.75,43.50,$21.75 ,2021,Buy,QuantumScape ,43.5,0,0,43.5,
311,13-Aug,Rackspace Technology Market BuyAug 13,$27.902 shares at $13.95,27.90,$13.95 ,2021,Buy,Rackspace Technology ,27.9,0,0,27.9,
312,13-Aug,Hyliion Market BuyAug 13,$89.7010 shares at $8.97,89.70,$8.97 ,2021,Buy,Hyliion ,89.7,0,0,89.7,
313,12-Aug,Nexa Resources Limit BuyAug 12,$77.4010 shares at $7.74,77.40,$7.74 ,2021,Buy,Nexa Resources ,77.4,0,0,77.4,
314,12-Aug,Eargo Market BuyAug 12,$31.921 share at $31.92,31.90,$31.92 ,2021,Buy,Eargo ,31.9,0,0,31.9,
315,12-Aug,Desktop Metal Market BuyAug 12,$41.685 shares at $8.34,41.60,$8.34 ,2021,Buy,Desktop Metal ,41.6,0,0,41.6,
316,12-Aug,Ballard Power Systems Market BuyAug 12,$77.435 shares at $15.49,77.40,$15.49 ,2021,Buy,Ballard Power Systems ,77.4,0,0,77.4,
317,12-Aug,Plug Power Market BuyAug 12,$129.805 shares at $25.96,129.80,$25.96 ,2021,Buy,Plug Power ,129.8,0,0,129.8,
318,12-Aug,Desktop Metal Limit BuyAug 12,$43.105 shares at $8.62,43.10,$8.62 ,2021,Buy,Desktop Metal ,43.1,0,0,43.1,
319,12-Aug,Nexa Resources Market BuyAug 12,$78.0010 shares at $7.80,78.00,$7.80 ,2021,Buy,Nexa Resources ,78,0,0,78,
320,12-Aug,Lam Research Market BuyAug 12,$58.690.1 shares at $586.90,58.60,$586.90 ,2021,Buy,Lam Research ,58.6,0,0,58.6,
321,12-Aug,Ballard Power Systems Market BuyAug 12,$78.035 shares at $15.61,78.00,$15.61 ,2021,Buy,Ballard Power Systems ,78,0,0,78,
322,12-Aug,Clean Energy Fuels Market SellAug 12,$251.4030 shares at $8.38,251.40,$8.38 ,2021,Sell,Clean Energy Fuels ,251.4,-251.4,0,0,
323,12-Aug,Trinseo Market BuyAug 12,$103.962 shares at $51.98,103.90,$51.98 ,2021,Buy,Trinseo ,103.9,0,0,103.9,
324,12-Aug,Plug Power Market BuyAug 12,$132.005 shares at $26.40,132.00,$26.40 ,2021,Buy,Plug Power ,132,0,0,132,
325,12-Aug,Rackspace Technology Market BuyAug 12,$56.514 shares at $14.13,56.50,$14.13 ,2021,Buy,Rackspace Technology ,56.5,0,0,56.5,
326,12-Aug,QuantumScape Market BuyAug 12,$44.522 shares at $22.26,44.50,$22.26 ,2021,Buy,QuantumScape ,44.5,0,0,44.5,
327,12-Aug,Hyliion Market BuyAug 12,$45.545 shares at $9.11,45.50,$9.11 ,2021,Buy,Hyliion ,45.5,0,0,45.5,
328,12-Aug,Velodyne Lidar Limit BuyAug 12,$112.9515 shares at $7.53,112.90,$7.53 ,2021,Buy,Velodyne Lidar ,112.9,0,0,112.9,
329,11-Aug,Rackspace Technology Limit BuyAug 11,$15.651 share at $15.65,15.60,$15.65 ,2021,Buy,Rackspace Technology ,15.6,0,0,15.6,
330,11-Aug,Big Lots Market SellAug 11,$58.471 share at $58.47,58.40,$58.47 ,2021,Sell,Big Lots ,58.4,-58.4,0,0,
331,11-Aug,Cummins Market SellAug 11,$287.571.2 shares at $239.64,287.50,$239.64 ,2021,Sell,Cummins ,287.5,-287.5,0,0,
332,11-Aug,Desktop Metal Market BuyAug 11,$43.945 shares at $8.79,43.90,$8.79 ,2021,Buy,Desktop Metal ,43.9,0,0,43.9,
333,11-Aug,Poshmark Market BuyAug 11,$28.311 share at $28.31,28.30,$28.31 ,2021,Buy,Poshmark ,28.3,0,0,28.3,
334,11-Aug,Hyliion Limit BuyAug 11,$93.4910 shares at $9.35,93.40,$9.35 ,2021,Buy,Hyliion ,93.4,0,0,93.4,
335,11-Aug,Rackspace Technology Market BuyAug 11,$49.733 shares at $16.58,49.70,$16.58 ,2021,Buy,Rackspace Technology ,49.7,0,0,49.7,
336,11-Aug,Poshmark Market BuyAug 11,$28.891 share at $28.89,28.80,$28.89 ,2021,Buy,Poshmark ,28.8,0,0,28.8,
337,10-Aug,Merck Market BuyAug 10,$74.931 share at $74.93,74.90,$74.93 ,2021,Buy,Merck ,74.9,0,0,74.9,
338,10-Aug,Desktop Metal Limit SellAug 10,$96.1210 shares at $9.61,96.10,$9.61 ,2021,Sell,Desktop Metal ,96.1,-96.1,0,0,
339,10-Aug,Nintendo Limit BuyAug 10,$56.771 share at $56.77,56.70,$56.77 ,2021,Buy,Nintendo ,56.7,0,0,56.7,
340,10-Aug,Magna Market SellAug 10,$85.901 share at $85.90,85.90,$85.90 ,2021,Sell,Magna ,85.9,-85.9,0,0,
341,10-Aug,Nintendo Limit BuyAug 10,$56.861 share at $56.86,56.80,$56.86 ,2021,Buy,Nintendo ,56.8,0,0,56.8,
342,10-Aug,Tapestry Market SellAug 10,$44.661 share at $44.66,44.60,$44.66 ,2021,Sell,Tapestry ,44.6,-44.6,0,0,
343,10-Aug,Etsy Market SellAug 10,$188.541 share at $188.54,188.50,$188.54 ,2021,Sell,Etsy ,188.5,-188.5,0,0,
345,10-Aug,Hyliion Market SellAug 10,$50.705 shares at $10.14,50.70,$10.14 ,2021,Sell,Hyliion ,50.7,-50.7,0,0,
346,10-Aug,Bloom Energy Market SellAug 10,$120.895 shares at $24.18,120.80,$24.18 ,2021,Sell,Bloom Energy ,120.8,-120.8,0,0,
347,10-Aug,Porsche Limit BuyAug 10,$51.855 shares at $10.37,51.80,$10.37 ,2021,Buy,Porsche ,51.8,0,0,51.8,
348,10-Aug,Bloom Energy Market SellAug 10,$239.8010 shares at $23.98,239.80,$23.98 ,2021,Sell,Bloom Energy ,239.8,-239.8,0,0,
349,10-Aug,Ballard Power Systems Market SellAug 10,$86.205 shares at $17.24,86.20,$17.24 ,2021,Sell,Ballard Power Systems ,86.2,-86.2,0,0,
350,10-Aug,Plug Power Market SellAug 10,$150.555 shares at $30.11,150.50,$30.11 ,2021,Sell,Plug Power ,150.5,-150.5,0,0,
351,10-Aug,Nintendo Limit BuyAug 10,$57.501 share at $57.50,57.50,$57.50 ,2021,Buy,Nintendo ,57.5,0,0,57.5,
352,9-Aug,Velodyne Lidar Limit SellAug 9,$83.3510 shares at $8.34,83.30,$8.34 ,2021,Sell,Velodyne Lidar ,83.3,-83.3,0,0,
353,9-Aug,Coinbase Market SellAug 9,$139.910.5 shares at $279.82,139.90,$279.82 ,2021,Sell,Coinbase ,139.9,-139.9,0,0,
354,9-Aug,Canadian Solar Market SellAug 9,$82.502 shares at $41.25,82.50,$41.25 ,2021,Sell,Canadian Solar ,82.5,-82.5,0,0,
355,9-Aug,Roblox Market SellAug 9,$84.921 share at $84.92,84.90,$84.92 ,2021,Sell,Roblox ,84.9,-84.9,0,0,
356,9-Aug,QuantumScape Market SellAug 9,$73.303 shares at $24.43,73.30,$24.43 ,2021,Sell,QuantumScape ,73.3,-73.3,0,0,
357,9-Aug,Plug Power Limit SellAug 9,$575.0020 shares at $28.75,575.00,$28.75 ,2021,Sell,Plug Power ,575,-575,0,0,
358,9-Aug,Ballard Power Systems Limit SellAug 9,$498.3030 shares at $16.61,498.30,$16.61 ,2021,Sell,Ballard Power Systems ,498.3,-498.3,0,0,
360,9-Aug,Beyond Meat Market SellAug 9,$53.240.410374 shares at $129.74,53.20,$129.74 ,2021,Sell,Beyond Meat ,53.2,-53.2,0,0,
361,9-Aug,Fastly Market SellAug 9,$89.252 shares at $44.63,89.20,$44.63 ,2021,Sell,Fastly ,89.2,-89.2,0,0,
362,9-Aug,Nexa Resources Limit BuyAug 9,$80.0010 shares at $8.00,80.00,$8.00 ,2021,Buy,Nexa Resources ,80,0,0,80,
363,9-Aug,LyondellBasell Limit BuyAug 9,$99.381 share at $99.38,99.30,$99.38 ,2021,Buy,LyondellBasell ,99.3,0,0,99.3,
364,9-Aug,Rackspace Technology Limit BuyAug 9,$34.502 shares at $17.25,34.50,$17.25 ,2021,Buy,Rackspace Technology ,34.5,0,0,34.5,
365,9-Aug,Velodyne Lidar Limit SellAug 9,$162.8020 shares at $8.14,162.80,$8.14 ,2021,Sell,Velodyne Lidar ,162.8,-162.8,0,0,
367,9-Aug,Clean Energy Fuels Limit SellAug 9,$227.7030 shares at $7.59,227.70,$7.59 ,2021,Sell,Clean Energy Fuels ,227.7,-227.7,0,0,
368,9-Aug,Azul Airlines Limit BuyAug 9,$64.223 shares at $21.41,64.20,$21.41 ,2021,Buy,Azul Airlines ,64.2,0,0,64.2,
369,9-Aug,RE/MAX Limit SellAug 9,$69.182 shares at $34.59,69.10,$34.59 ,2021,Sell,RE/MAX ,69.1,-69.1,0,0,
370,9-Aug,Nintendo Limit BuyAug 9,$59.071 share at $59.07,59.00,$59.07 ,2021,Buy,Nintendo ,59,0,0,59,
371,9-Aug,Roblox Market SellAug 9,$84.831 share at $84.83,84.80,$84.83 ,2021,Sell,Roblox ,84.8,-84.8,0,0,
